Time,,Differential Pressure (PSI),,,,Absolute Pressure,,,Temperature (degC),,,,Inputs,,
Time Stamp,Time Elapsred (hrs),Section 1,Section 2,Section 3,Section 4,Inlet,Outlet,Confining,Room,Pore,Jacket,,Temp Setpoint (deg C),Pump Setpoint (PSI),Brine Salinity (%)
22:07.4,51.74,3.45629467,1.98232706,1.58372944,-1.84085127,1400.640477,1306.891063,1984.859763,10.98251161,10.23617797,9.27025251,,,,
27:05.7,51.82,2.51494017,2.16033362,1.41926837,-1.72682417,1401.207355,1309.554996,1984.859763,10.92427236,11.30239642,9.25288986,,,,
32:04.1,51.90,1.9329322,2.117301,1.48610421,-1.72920709,1401.658416,1312.139575,1984.859763,10.86200567,10.22714426,9.21759347,,,,
37:02.4,51.99,1.40932743,2.08718209,1.47054634,-1.68046018,1402.276615,1314.762957,1984.859763,10.83973653,10.24960317,9.18026894,,,,
42:00.7,52.07,0.65858043,2.11713197,1.47190349,-1.6563506,1402.823688,1317.336465,1984.859763,10.88161,10.02958733,9.27529341,,,,
46:59.0,52.15,0.29137302,2.11668279,1.53901859,-1.80891196,1403.21694,1320.055086,1984.859763,10.82907556,9.95838301,9.13443447,,,,
51:57.4,52.24,0.1289052,1.95515182,1.66769075,-1.83698207,1403.563153,1322.598178,1984.859763,10.76531256,10.56281185,9.21534032,,,,
56:55.7,52.32,0.00970105,1.97254446,1.62646751,-1.83747819,1403.772025,1324.981664,1984.859763,10.79428455,9.59840802,9.17179342,,,,
01:54.0,52.40,-0.02123668,1.98972378,1.6172959,-1.79854294,1404.215379,1327.379931,1984.859763,10.87038678,10.24760964,9.16401073,,,,
06:52.3,52.48,-0.14814395,1.92498853,1.67636602,-1.75869073,1404.588576,1329.69412,1984.859763,10.861413,10.3332705,9.25634434,,,,
11:50.6,52.57,-0.14197983,2.22742566,1.38557404,-1.7962153,1405.097572,1331.892156,1984.859763,10.79122431,10.41160759,9.17605545,,,,
16:49.0,52.65,-0.29128154,2.27757679,1.30580122,-1.78096271,1405.473909,1333.935375,1984.859763,10.71244092,9.94962706,9.18186297,,,,
21:47.3,52.73,-0.51126054,2.17696802,1.3472337,-1.72068704,1405.980747,1335.921591,1984.859763,10.58656729,10.204439,9.1664882,,,,
26:45.6,52.82,-0.81739247,2.02660351,1.48286281,-1.58918351,1406.529035,1337.822741,1984.859763,10.5995917,10.17684554,9.16014581,,,,
31:43.9,52.90,-0.6742472,2.07672529,1.53947463,-1.6062816,1407.110012,1339.760969,1984.859763,10.62794746,9.97506897,9.1845105,,,,
36:42.2,52.98,-0.66587058,2.12977841,1.4855085,-1.74826323,1407.681858,1341.615464,1984.859763,10.72086606,10.54726108,9.28674105,,,,
41:40.6,53.06,-0.57801029,2.16725526,1.47084278,-1.79249091,1408.105826,1343.44302,1984.859763,10.66505502,9.37484772,9.23909575,,,,
46:38.9,53.15,-0.4776938,2.17193577,1.43495338,-1.82125599,1408.593013,1345.204123,1984.859763,10.5558383,10.12248799,9.19904948,,,,
51:37.2,53.23,-0.56109019,2.19706383,1.43708114,-1.85051876,1409.00333,1346.829189,1984.859763,10.62332882,10.06306452,9.20632378,,,,
56:35.5,53.31,-0.30466673,2.17469918,1.45828985,-1.92458992,1409.295264,1348.534504,1984.859763,10.56045977,9.7139453,9.27361843,,,,
01:33.8,53.40,-0.30033671,2.20653137,1.4844718,-1.74572427,1409.773491,1349.952794,1984.859763,10.60733754,8.44233025,9.15509797,,,,
06:32.1,53.48,-0.66304949,2.05610413,1.64216129,-1.86066279,1410.379267,1351.554047,1984.859763,10.47677791,10.04726182,9.22295603,,,,
11:30.4,53.56,-0.40101004,2.21802153,1.49887144,-1.89577393,1410.810996,1352.948729,1984.859763,10.47389102,9.88852928,9.10757612,,,,
16:28.7,53.64,-0.39544215,2.33559182,1.42080665,-1.88555644,1411.24478,1354.197917,1984.859763,10.56516934,8.61786815,9.10855349,,,,
21:27.0,53.73,-0.16815034,2.21484257,1.54883684,-1.98293024,1411.721815,1355.638323,1984.859763,10.50289731,9.5654158,9.16215442,,,,
26:25.3,53.81,-0.24421597,2.23662277,1.53603223,-2.0268262,1412.129721,1356.978334,1984.859763,10.50053182,10.2437919,9.22219919,,,,
31:23.6,53.89,-0.32686443,2.17854039,1.67193104,-2.06395954,1412.484546,1358.229165,1984.859763,10.50356078,9.45304634,9.17537923,,,,
36:22.0,53.98,-0.30713949,2.06139943,1.7912172,-2.10422004,1412.811587,1359.40759,1984.859763,10.42170407,9.65217139,9.15700567,,,,
41:20.3,54.06,-0.26131928,2.04221155,1.76998461,-2.06721291,1413.129698,1360.499695,1984.859763,10.45394689,8.70568732,9.26293032,,,,
46:18.6,54.14,-0.40243206,2.10978679,1.68607403,-2.0722753,1413.556809,1361.725639,1984.859763,10.49202802,9.59332335,9.25180944,,,,
51:17.0,54.22,-0.05870394,2.1801796,1.60495637,-2.09873209,1413.893158,1362.835832,1984.859763,10.38981314,9.89428947,9.20182394,,,,
56:15.3,54.31,-0.19150372,2.10910979,1.73708169,-2.13758778,1414.178121,1363.787719,1984.859763,10.4087663,9.9538536,9.21364723,,,,
01:13.6,54.39,-0.27013674,1.95126181,1.92907376,-2.16766247,1414.410184,1364.739686,1984.859763,10.38599445,10.04563626,9.16361706,,,,
06:12.0,54.47,-0.23514065,1.92806623,1.97772326,-2.17981616,1414.755511,1365.657063,1984.859763,10.44780945,10.15280256,9.13198049,,,,
11:10.3,54.56,-0.13145971,2.04660127,1.93071917,-2.23289438,1415.060457,1366.558343,1984.859763,10.42388925,9.80966452,9.19824982,,,,
16:08.6,54.64,-0.33062125,1.98020421,2.00250878,-2.27027594,1415.423376,1367.43899,1984.859763,10.38543269,10.94483064,9.23627603,,,,
21:06.9,54.72,-0.22360928,2.07051627,1.97151659,-2.31359316,1415.56945,1368.23019,1984.859763,10.40047945,9.300383,9.1868145,,,,
26:05.2,54.80,-0.25723537,2.104693,1.98595026,-2.36817394,1415.860237,1369.105108,1984.859763,10.28612005,9.87895174,9.23964235,,,,
31:03.4,54.89,-0.05770895,2.04107353,2.02122358,-2.38375054,1416.094164,1370.024743,1984.859763,10.31665747,10.16898061,9.14611925,,,,
36:01.7,54.97,-0.04682454,2.01984905,2.12835459,-2.42718893,1416.292744,1370.829402,1984.859763,10.21849049,9.19198938,9.17188559,,,,
41:00.0,55.05,0.04013737,1.92017301,2.23281432,-2.41447106,1416.746511,1371.694261,1984.859763,10.35174441,11.39109448,9.05782498,,,,
45:58.2,55.14,0.07725672,1.88996767,2.24938553,-2.43050551,1416.715018,1372.251746,1984.859763,10.28506663,9.01039569,9.19151434,,,,
50:56.5,55.22,0.28687724,2.03853503,2.10947146,-2.41668794,1417.147939,1373.14093,1984.859763,10.31438995,9.5394536,9.18672193,,,,
55:54.7,55.30,0.24341612,1.95902875,2.18828916,-2.45384564,1417.215394,1373.63698,1984.859763,10.27648381,8.40541268,9.11603997,,,,
00:53.0,55.38,0.48448872,1.83660464,2.29710118,-2.51991031,1417.289772,1374.192719,1984.859763,10.28965792,9.29764258,9.25367618,,,,
05:51.2,55.47,0.93812689,1.48538848,2.70655242,-2.71425595,1416.885093,1374.090933,1984.859763,10.3267415,9.70072617,9.22498985,,,,
10:49.5,55.55,1.34094875,1.1916759,3.03829143,-2.75856689,1416.402755,1373.973851,1984.859763,10.37110659,9.6554913,9.21278648,,,,
15:47.7,55.63,1.54425695,1.30960095,2.98442173,-2.76920928,1416.130603,1373.817194,1984.859763,10.3746985,10.92655217,9.26615309,,,,
20:46.0,55.72,2.02133114,1.35525131,2.87726057,-2.76514793,1415.694788,1373.70584,1984.859763,10.29065127,8.64135858,9.11809093,,,,
25:44.2,55.80,2.0993023,1.2728265,2.99602774,-2.85120904,1415.1876,1373.598624,1984.859763,10.29620165,9.71433965,9.13063889,,,,
30:42.4,55.88,2.03580128,1.19637241,3.04997776,-2.90830559,1414.588844,1373.429221,1984.859763,10.23673232,9.75060483,9.23375036,,,,
35:40.7,55.96,1.66681401,1.23982572,2.76797079,-2.70965382,1413.891702,1373.161323,1984.859763,10.17450887,10.97409325,9.05843915,,,,
40:38.9,56.05,2.74294625,1.71144076,2.52853002,-2.5011309,1413.968838,1372.951565,1984.859763,10.12880239,10.38088913,9.10294912,,,,
45:37.1,56.13,3.48373242,2.02195144,2.18545487,-2.46131223,1414.295337,1372.955045,1984.859763,10.07143266,9.43754232,9.18473796,,,,
50:35.3,56.21,2.60500262,1.91637507,2.16519403,-2.55916467,1414.017493,1372.662912,1984.859763,9.92694688,9.62831795,9.13597986,,,,
55:33.6,56.30,0.75728484,1.97136489,1.934778,-2.72631079,1412.99507,1371.683355,1984.859763,9.67555291,9.99387481,9.1442034,,,,
00:31.8,56.38,0.28026516,1.94484396,2.06275198,-2.78745736,1412.307035,1371.038283,1984.859763,9.43990158,10.16514458,9.14223009,,,,
05:30.0,56.46,0.36129718,1.87024213,2.32501395,-2.86336961,1411.764906,1370.432404,1984.859763,9.19031511,9.30154452,9.00051289,,,,
10:28.3,56.54,0.4176442,1.86616001,2.36998426,-2.89356259,1411.501396,1369.920577,1984.859763,9.04325085,9.88564758,9.0618918,,,,
15:26.5,56.63,0.37136381,1.44282801,2.94008178,-2.84454246,1411.617818,1369.429115,1984.859763,9.08488971,9.20892058,9.05235419,,,,
20:24.7,56.71,0.37675649,0.90448692,3.76441581,-2.90072284,1412.295203,1369.208041,1984.859763,9.44942617,10.24757597,9.08894591,,,,
25:22.9,56.79,0.53264355,0.82065166,3.97962992,-2.95919856,1412.849279,1369.011362,1984.859763,9.99355349,9.78274129,9.06768782,,,,
30:21.2,56.88,0.72620878,1.28132629,3.57601779,-3.02359428,1413.390715,1368.903012,1984.859763,10.29375566,9.16419399,9.12772487,,,,
35:19.4,56.96,0.87872384,1.90577642,2.99041861,-3.17736813,1413.705003,1368.75661,1984.859763,10.376521,9.75472723,9.16643289,,,,
40:17.6,57.04,0.92654773,2.18569817,2.81268236,-3.38405624,1413.596871,1368.486523,1984.859763,10.2609611,9.63811155,9.17423258,,,,
45:15.8,57.12,0.5598953,2.1050888,3.01574483,-3.5912137,1413.438344,1368.166391,1984.859763,10.18490306,9.54445383,9.13982646,,,,
50:14.0,57.21,0.51591818,1.97843429,3.13567073,-3.54340637,1413.364909,1367.931968,1984.859763,9.93190941,9.59819429,9.112445,,,,
55:12.2,57.29,0.57964676,1.81499814,3.31447001,-3.46072969,1413.619611,1367.741179,1984.859763,9.9720147,9.60696083,9.03308971,,,,
00:10.5,57.37,0.46218985,1.71027001,3.43149305,-3.43618449,1413.796193,1367.364721,1984.859763,9.96740129,9.67684122,9.18062066,,,,
05:08.7,57.46,0.56917749,1.78630407,3.50232926,-3.5042444,1414.187194,1367.083743,1984.859763,10.09070019,9.89101184,9.13422687,,,,
10:06.9,57.54,0.6088114,1.90389078,3.53704053,-3.69561906,1414.483108,1366.878574,1984.859763,10.15615341,9.87983664,9.14031527,,,,
15:05.1,57.62,0.5160218,1.75035728,3.76912703,-3.86711303,1414.595902,1366.704637,1984.859763,10.19633556,10.11144777,9.12105305,,,,
20:03.3,57.70,0.66221897,1.84933241,3.44418159,-3.63539734,1414.529006,1366.342698,1984.859763,10.11760502,8.9777964,9.13662293,,,,
25:01.6,57.79,0.54340466,1.97027139,2.69065698,-2.96525828,1414.775118,1366.244441,1984.859763,10.05490159,9.02416468,9.27552999,,,,
29:59.8,57.87,0.22070843,2.1669922,2.52510447,-2.86943118,1415.39258,1366.088766,1984.859763,10.0920816,10.2703064,9.2027781,,,,
34:58.0,57.95,-0.11427103,2.1569522,2.66192664,-2.96576813,1415.99537,1365.869594,1984.859763,10.12091494,9.07917363,9.15728659,,,,
