2520000,  5250,   867, -1015,  6522, -2847, -1237,  -735,  1164,11111001, 0000019950,0251945657,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000019950,  5250,0000000000,
2580000,  5250,   867, -1015,  6524, -2847, -1237,  -735,  1164,11111001, 0000019950,0251914479,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000019950,  5250,0000000000,
2640000,  5250,   867, -1015,  6524, -2847, -1236,  -735,  1165,11111001, 0000000000,0251872891,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
2700000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1164,11111001, 0000871990,0251843010,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000871990,  5250,0000000000,
2760000,  5250,   867, -1015,  6523, -2847, -1236,  -734,  1164,11111001, 0000039900,0251833415,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000039900,  5250,0000000000,
2820000,  5250,   867, -1015,  6523, -2847, -1236,  -734,  1164,11111001, 0000012970,0251832285,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000012970,  5250,0000000000,
2880000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1164,11111001, 0000000000,0251780421,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
2940000,  5250,   867, -1015,  6523, -2847, -1236,  -735,  1164,11111001, 0000000000,0251779872,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
3000000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1164,11111001, 0000000000,0251771042,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
3060000,  5250,   867, -1015,  6522, -2847, -1236,  -735,  1164,11111001, 0000000000,0251769562,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
